"Year"
"1996"
"1983"
"1982"
"1977"
"2011"
"1987"
"1988"
"1978"
"2012"
"2006"
"2013"
"1991"
"1986"
"2002"
"2014"
"1972"
"1976"
"1995"
"2000"
"2009"
"1981"
"2017"
"2008"
"1974"
"1980"
"1989"
"2015"
"1985"
"1993"
"1997"
"1975"
"1973"
"1994"
"1979"
"1992"
"2016"
"2010"
"2007"
"2005"
"1998"
"2001"
"1990"
"1971"
"2003"
"1999"
"1984"
"2004"
"2018"
"1966"
"1969"
"1963"
"1968"
"1965"
"1964"
"1967"
"1970"
"1962"
"1961"
"1960"
"1946"
"1956"
"1958"
"1959"
"1957"
"1954"
"1953"
"1955"
"1952"
"1945"
"1938"
"1939"
"1937"
"1947"
"1950"
"1944"
"1941"
"1936"
"1948"
"1943"
"1940"
"1949"
"1942"
"1951"
